"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1CASN0039","PETALUMA 1.8 WSW, CA US","2018-04-06",,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","2018-04-07",,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","2018-04-12",,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","2018-04-16",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-01",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-02",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-03",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-04",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-05",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-06",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-07",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-08",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-09",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-10",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-11",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-12",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-13",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-14",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-15",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-16",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-17",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-18",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-19",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-20",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-21",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-22",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-23",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-24",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-25",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-26",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-04-28",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-21",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-22",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-23",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-24",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-25",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-26",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-27",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-28",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-29",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-30",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-05-31",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-01",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-02",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-03",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-04",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-05",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-06",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-07",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-08",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-09",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-10",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-11",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-12",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-13",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-14",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-15",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-16",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-17",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-18",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-19",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-20",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-21",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-22",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-23",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-24",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-25",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-26",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-27",,,,
"US1CASN0116","SANTA ROSA 1.7 E, CA US","2018-06-28",,,,
