stream,reach,pool,event,date,fish_species,unique_ID,subsample,index,fish_length_mm,num_fish_in_subsample,volume_occupied_all_cm3,volume_occupied_forage_cm3,avg_volume_cm3,avg_forage_volume_cm3,points_in_sample,repeat_index,matlab_color
Porter,BACI,18.5,Before,2018-06-29,Omykiss,1,1,1,55.77,3,47.83,35.39,646.64,,11,1,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,2,1,2,66.45,3,53.06,53.06,646.64,,11,2,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,3,1,4,47.90,3,1090,1089.98,646.64,,9,4,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,4,2,5,57.27,3,33.99,33.99,646.64,,11,1,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,5,2,6,60.55,3,6648.6,6648.57,646.64,,7,2,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,6,2,7,48.60,3,NA,NA,646.64,,3,4,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,7,3,8,54.70,3,1.76,1.76,646.64,,11,1,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,8,3,9,47.93,3,1030.6,1030.59,646.64,,8,9,NA
Porter,BACI,18.5,Before,2018-06-29,Okisutch,9,3,10,70.37,3,160.89,160.89,646.64,,6,10,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,10,4,11,55.57,2,0.19,0.19,646.64,,11,1,NA
Porter,BACI,18.5,Before,2018-06-29,Okisutch,11,4,12,74.75,2,1.16,1.16,646.64,,5,10,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,12,5,13,56.13,4,69.96,69.96,646.64,,11,1,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,13,5,14,49.40,4,NA,NA,646.64,,3,14,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,14,5,15,50.83,4,174.41,174.41,646.64,,11,15,NA
Porter,BACI,18.5,Before,2018-06-29,Okisutch,15,5,16,83.65,4,NA,NA,646.64,,3,16,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,16,6,17,52.50,3,222.48,222.48,646.64,,11,15,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,17,6,18,48.23,3,164.44,164.44,646.64,,6,18,NA
Porter,BACI,18.5,Before,2018-06-29,Omykiss,18,6,19,51.13,3,0.17,0.17,646.64,,4,19,NA
Porter,BACI,18.5,After,2018-07-05,Okisutch,19,1,1,46.67,6,76.84,63.77,1522.59,,11,1,yellow
Porter,BACI,18.5,After,2018-07-05,Omykiss,20,1,2,85.10,6,1817.9,NA,1522.59,,8,2,green
Porter,BACI,18.5,After,2018-07-05,Hsymmetricus,21,1,3,60.40,6,NA,349.39,1522.59,,11,3,NA
Porter,BACI,18.5,After,2018-07-05,Okisutch,22,1,4,73.80,6,168.68,168.68,1522.59,,8,4,white
Porter,BACI,18.5,After,2018-07-05,Omykiss,23,1,5,49.27,6,522.96,522.96,1522.59,,5,5,Red
Porter,BACI,18.5,After,2018-07-05,Omykiss,24,1,6,48.55,6,8.15,NA,1522.59,,4,6,Blue
Porter,BACI,18.5,After,2018-07-05,Okisutch,25,2,7,48.33,7,3289.5,3289.53,1522.59,,11,1,yellow
Porter,BACI,18.5,After,2018-07-05,Omykiss,26,2,8,55.67,7,664.39,664.39,1522.59,,11,6,Blue
Porter,BACI,18.5,After,2018-07-05,Omykiss,27,2,9,79.10,7,3001.6,889.14,1522.59,,11,2,green
Porter,BACI,18.5,After,2018-07-05,Omykiss,28,2,10,45.50,7,4315.4,2971.64,1522.59,,11,10,magenta
Porter,BACI,18.5,After,2018-07-05,Omykiss,29,2,11,53.23,7,954.94,954.94,1522.59,,5,5,Red
Porter,BACI,18.5,After,2018-07-05,Hsymmetricus,30,2,13,65.05,7,NA,1.05,1522.59,,11,3,NA
Porter,BACI,18.5,After,2018-07-05,Okisutch,31,2,18,62.37,7,103.4,65.82,1522.59,,5,18,cyan
Porter,BACI,18.5,After,2018-07-05,Omykiss,32,3,12,46.10,7,9827.1,7435.68,1522.59,,10,10,magenta
Porter,BACI,18.5,After,2018-07-05,Omykiss,33,3,14,78.13,7,484.37,484.37,1522.59,,11,2,green
Porter,BACI,18.5,After,2018-07-05,Omykiss,34,3,15,56.23,7,66.52,66.52,1522.59,,11,6,Blue
Porter,BACI,18.5,After,2018-07-05,Okisutch,35,3,16,45.17,7,1713.1,1713.09,1522.59,,8,1,yellow
Porter,BACI,18.5,After,2018-07-05,Okisutch,36,3,17,62.63,7,35.38,35.38,1522.59,,11,18,cyan
Porter,BACI,18.5,After,2018-07-05,Omykiss,37,3,19,45.60,7,186.57,186.57,1522.59,,5,19,black
Porter,BACI,18.5,After,2018-07-05,Hsymmetricus,38,3,20,60.40,7,NA,2.93,1522.59,,11,3,NA
Porter,BACI,18.5,After,2018-07-05,Omykiss,39,4,21,82.37,6,7064,5077.30,1522.59,,11,2,green
Porter,BACI,18.5,After,2018-07-05,Omykiss,40,4,22,43.67,6,981.06,981.06,1522.59,,8,10,magenta
Porter,BACI,18.5,After,2018-07-05,Omykiss,41,4,23,47.43,6,859.02,183.04,1522.59,,8,19,black
Porter,BACI,18.5,After,2018-07-05,Omykiss,42,4,24,58.30,6,1937.3,1937.30,1522.59,,11,6,Blue
Porter,BACI,18.5,After,2018-07-05,Okisutch,43,4,25,62.90,6,375,375.00,1522.59,,11,18,cyan
Porter,BACI,18.5,After,2018-07-05,Hsymmetricus,44,4,26,60.40,6,NA,1.34,1522.59,,11,3,NA
Porter,BACI,18.5,After,2018-07-05,Omykiss,45,5,27,47.87,5,59.64,59.64,1522.59,,4,27,white
Porter,BACI,18.5,After,2018-07-05,Omykiss,46,5,28,82.30,5,372.04,372.04,1522.59,,11,2,green
Porter,BACI,18.5,After,2018-07-05,Omykiss,47,5,29,55.47,5,1851.1,1851.15,1522.59,,9,6,Blue
Porter,BACI,18.5,After,2018-07-05,Omykiss,48,5,30,47.63,5,40.04,40.04,1522.59,,4,30,white
Porter,BACI,18.5,After,2018-07-05,Hsymmetricus,49,5,31,60.40,5,NA,8.25,1522.59,,11,3,NA
Porter,BACI,18.5,After,2018-07-05,Omykiss,50,6,32,78.07,2,889.46,889.46,1522.59,,9,2,green
Porter,BACI,18.5,After,2018-07-05,Omykiss,51,6,33,56.57,2,967.07,316.68,1522.59,,11,6,Blue
Porter,POFW,18.3,Before,2018-06-30,Omykiss,52,1,1,88.53,3,3.5728,NA,365.54,,11,1,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,53,1,2,85.43,3,0.0054,NA,365.54,,11,2,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,54,1,3,73.60,3,NA,NA,365.54,,3,3,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,55,2,4,85.60,1,0.0106,NA,365.54,,11,2,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,56,3,5,86.77,3,0.0011,NA,365.54,,11,2,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,57,3,6,91.70,3,16.1811,NA,365.54,,6,1,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,58,3,7,70.27,3,1298.3,804.3241,365.54,,10,3,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,59,4,8,85.77,3,17.897,NA,365.54,,11,2,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,60,4,9,89.85,3,22.3164,NA,365.54,,4,1,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,61,4,10,71.94,3,NA,NA,365.54,,3,3,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,62,5,11,85.37,2,34.6685,NA,365.54,,11,2,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,63,5,12,71.94,2,0.1942,NA,365.54,,9,3,
Porter,POFW,18.3,Before,2018-06-30,Omykiss,64,6,13,72.35,1,2627.8,723.1495,365.54,,5,3,
Porter,POFW,18.3,After,2018-07-06,Omykiss,65,1,1,66.73,1,0.1395289,NA,8.98,,11,1,
Porter,POFW,18.3,After,2018-07-06,Omykiss,66,2,2,67.03,1,0.001249656,NA,8.98,,11,1,
Porter,POFW,18.3,After,2018-07-06,Omykiss,67,3,3,69.63,1,1.024696,NA,8.98,,11,1,
Porter,POFW,18.3,After,2018-07-06,Omykiss,68,4,4,70.73,1,0.002604847,NA,8.98,,11,1,
Porter,POFW,18.3,After,2018-07-06,Omykiss,69,5,5,71.17,1,0.04458702,NA,8.98,,11,1,
Porter,POFW,18.3,After,2018-07-06,Omykiss,70,6,6,71.70,1,52.68832,NA,8.98,,11,1,
Porter,BACI,18.8,Before,2018-06-29,Okisutch,71,1,1,51.97,1,790.8059,297.74,2153.42,,6,1,
Porter,BACI,18.8,Before,2018-06-29,Okisutch,72,2,2,51.70,1,4623.805,1714.92,2153.42,,8,2,
Porter,BACI,18.8,Before,2018-06-29,Okisutch,73,3,3,51.90,2,1941.927,1941.93,2153.42,,9,3,
Porter,BACI,18.8,Before,2018-06-29,Omykiss,74,3,4,36.90,2,418.8056,418.81,2153.42,,5,4,
Porter,BACI,18.8,Before,2018-06-29,Okisutch,75,4,5,54.00,2,2153.043,2153.04,2153.42,,8,5,
Porter,BACI,18.8,Before,2018-06-29,Omykiss,76,4,6,53.97,2,208.3656,208.37,2153.42,,5,6,
Porter,BACI,18.8,Before,2018-06-29,Omykiss,77,5,7,53.60,1,1761.056,1482.80,2153.42,,7,7,
Porter,BACI,18.8,Before,2018-06-29,Omykiss,78,6,8,55.17,1,5329.532,5329.53,2153.42,,10,8,
Porter,BACI,18.8,After,2018-07-05,Omykiss,79,1,1,43.80,8,265.5197,160.67,723.14,,7,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,80,1,2,64.97,8,2699.515,1216.36,723.14,,10,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,81,1,3,56.73,8,131.2419,131.24,723.14,,11,3,
Porter,BACI,18.8,After,2018-07-05,Okisutch,82,1,4,69.03,8,4187.322,904.93,723.14,,11,4,
Porter,BACI,18.8,After,2018-07-05,Okisutch,83,1,5,62.33,8,277.7312,277.73,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Hsymmetricus,84,1,6,53.63,8,NA,NA,723.14,,4,6,
Porter,BACI,18.8,After,2018-07-05,Okisutch,85,1,7,NA,8,NA,NA,723.14,,10,7,
Porter,BACI,18.8,After,2018-07-05,Omykiss,86,1,25,48.07,8,12.71295,12.71295,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,87,2,8,41.97,8,NA,NA,723.14,,3,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,88,2,9,66.27,8,NA,3020.60,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,89,2,10,55.00,8,NA,2269.35,723.14,,11,3,
Porter,BACI,18.8,After,2018-07-05,Okisutch,90,2,11,68.07,8,231.558,231.56,723.14,,11,4,
Porter,BACI,18.8,After,2018-07-05,Okisutch,91,2,12,61.43,8,2080.122,NA,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,92,2,13,NA,8,NA,NA,723.14,,7,7,
Porter,BACI,18.8,After,2018-07-05,Omykiss,93,2,14,NA,8,NA,NA,723.14,,7,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,94,2,26,45.90,8,19.64838,4.06395,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,95,3,15,42.20,7,220.5638,220.56,723.14,,7,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,96,3,16,67.43,7,NA,NA,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,97,3,17,56.63,7,NA,166.49,723.14,,10,3,
Porter,BACI,18.8,After,2018-07-05,Okisutch,98,3,18,69.23,7,NA,3707.00,723.14,,10,4,
Porter,BACI,18.8,After,2018-07-05,Okisutch,99,3,19,63.50,7,869.9205,869.92,723.14,,10,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,100,3,20,NA,7,NA,NA,723.14,,11,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,101,3,21,47.20,7,6.732886,3.09,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,102,4,22,43.00,7,1124.474,631.92,723.14,,11,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,103,4,23,73.83,7,NA,NA,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,104,4,24,58.47,7,NA,3814.66,723.14,,11,24,Probably index 3
Porter,BACI,18.8,After,2018-07-05,Okisutch,105,4,27,59.70,7,188.1966,188.20,723.14,,11,27,Probably index 4
Porter,BACI,18.8,After,2018-07-05,Okisutch,106,4,28,63.53,7,254.7852,254.79,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,107,4,29,NA,7,NA,NA,723.14,,11,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,108,4,30,47.17,7,35.0448,18.37,723.14,,11,21,
