All measured points in VidSync project Porter_BACI_JTPool_30June2018_Part1
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_1 1 (Omykiss),Search_Forage 2,0:00:08:33.175/60000,513.002930,-35.538616,22.760235,-3.837432,0.112814,1.976061,85.422440,"LC: screen={499.007995605469000,448.020263671875000} undistorted={489.756683349609000,446.675598144531000} calibrationFrameFront={-22.616340209910300,-0.595701627737714} calibrationFrameBack={-34.199108866159400,-4.009877019523110}""RC: screen={325.686431884766000,433.889831542969000} undistorted={307.815093994141000,430.938537597656000} calibrationFrameFront={-12.798139089997700,-0.988551984071612} calibrationFrameBack={-33.280589989728500,-4.324948881884800}"
Subsample_1 1 (Omykiss),Search_Forage 1,0:00:08:30.175/60000,510.002930,-37.887760,17.304134,-6.586889,0.168353,1.946872,82.386520,"RC: screen={246.945831298828000,395.539916992188000} undistorted={222.885498046875000,390.743804931641000} calibrationFrameFront={-18.591832065259400,-3.559475651538240} calibrationFrameBack={-41.619555863178900,-8.101588043120950}""LC: screen={433.212646484375000,399.237426757812000} undistorted={419.892913818359000,396.351409912109000} calibrationFrameFront={-26.682450845706800,-3.211702882628620} calibrationFrameBack={-39.930412801559500,-7.769872147927160}"
Subsample_1 1 (Omykiss),Length 6,0:00:08:43.10359/60000,523.172668,-36.067856,16.836786,-2.412948,0.120931,1.282590,80.472839,"LC: screen={448.637695312500000,451.084167480469000} undistorted={436.591125488281000,449.560821533203000} calibrationFrameFront={-25.549039783015700,-0.310106860670244} calibrationFrameBack={-38.353520193124200,-3.655628610897310}""RC: screen={260.101013183594000,447.059570312500000} undistorted={237.437881469727000,444.189941406250000} calibrationFrameFront={-17.611505787011100,-0.297379924849324} calibrationFrameBack={-40.117129720468500,-3.405837673680460}"
Subsample_1 1 (Omykiss),Search_Forage 5,0:00:08:42.175/60000,522.002930,-35.348625,17.997770,-6.700214,0.165840,3.963553,81.655586,"LC: screen={470.562622070312000,402.709350585938000} undistorted={459.482666015625000,400.211425781250000} calibrationFrameFront={-24.469522984225400,-3.091566665965350} calibrationFrameBack={-36.796716883785500,-7.561708819584240}""RC: screen={279.589599609375000,392.293121337891000} undistorted={258.041229248047000,387.650238037109000} calibrationFrameFront={-16.163134913382900,-3.675862938321550} calibrationFrameBack={-38.154920084551600,-8.231708939985300}"
Subsample_1 1 (Omykiss),Search_Forage 3,0:00:08:36.175/60000,516.002930,-36.069126,19.203203,-7.316699,0.169640,5.589034,83.141182,"LC: screen={470.971984863281000,399.262512207031000} undistorted={459.887512207031000,396.687469482422000} calibrationFrameFront={-24.460516237074400,-3.287745118112970} calibrationFrameBack={-36.781989731842500,-7.838323066504380}""RC: screen={285.063385009766000,385.825042724609000} undistorted={263.869934082031000,381.002777099609000} calibrationFrameFront={-15.760028396637000,-4.064509780497360} calibrationFrameBack={-37.591046847020600,-8.784387655736670}"
Subsample_1 1 (Omykiss),Length 6,0:00:08:43.10359/60000,523.172668,-34.648552,20.433998,-6.400382,0.152601,1.156054,83.331764,"RC: screen={311.732269287109000,404.624176025391000} undistorted={292.663665771484000,400.655914306641000} calibrationFrameFront={-13.807525518237200,-2.827004568876460} calibrationFrameBack={-34.769403636657300,-6.976261494989950}""LC: screen={496.439147949219000,408.456176757812000} undistorted={486.812774658203000,406.285949707031000} calibrationFrameFront={-22.930264322630500,-2.819932320096620} calibrationFrameBack={-34.620774915845900,-7.151803642833420}"
Subsample_1 1 (Omykiss),Search_Forage 4,0:00:08:39.175/60000,519.002930,-35.467159,18.136442,-6.827639,0.166999,5.682724,81.853661,"RC: screen={279.813446044922000,389.349365234375000} undistorted={258.255554199219000,384.605010986328000} calibrationFrameFront={-16.146837035769200,-3.859016870135850} calibrationFrameBack={-38.137167620679500,-8.494809065619000}""LC: screen={470.168884277344000,402.982849121094000} undistorted={459.068847656250000,400.488159179688000} calibrationFrameFront={-24.491432304471200,-3.075259201003890} calibrationFrameBack={-36.827902804384600,-7.539083794252110}"
Subsample_2 3 (Omykiss),Drift_Forage 16,0:00:10:42.175/60000,642.002930,-21.534101,50.853615,7.433171,0.150187,3.308077,105.603271,"LC: screen={754.140625000000000,597.679687500000000} undistorted={752.977294921875000,598.094726562500000} calibrationFrameFront={-7.618326091796120,7.057723240644090} calibrationFrameBack={-13.134594002513400,6.991959833566700}""RC: screen={637.266601562500000,551.689697265625000} undistorted={634.404602050781000,551.784790039062000} calibrationFrameFront={8.043040978501680,6.340958153441560} calibrationFrameBack={-3.629816409453490,6.399448225082730}"
Subsample_2 3 (Omykiss),Drift_Forage 13,0:00:10:33.175/60000,633.002930,-19.632603,49.235130,6.307593,0.138117,0.093777,103.544250,"LC: screen={768.071899414062000,584.726257324219000} undistorted={767.129089355469000,585.028381347656000} calibrationFrameFront={-6.881973424212150,6.314007888411320} calibrationFrameBack={-12.092557206070700,5.957619383900510}""RC: screen={645.047607421875000,545.447692871094000} undistorted={642.388916015625000,545.478332519531000} calibrationFrameFront={8.530515278145470,5.986519653411890} calibrationFrameBack={-2.945827128659050,5.904275159716710}"
Subsample_1 1 (Omykiss),Length 7,0:00:08:43.28377/60000,523.472961,-34.931412,18.951200,-4.333060,0.133818,8.699963,81.911087,"RC: screen={294.211944580078000,434.100036621094000} undistorted={274.080871582031000,430.975646972656000} calibrationFrameFront={-15.087922480701000,-1.038889021150370} calibrationFrameBack={-36.543416983995500,-4.430857922080490}""LC: screen={480.882751464844000,424.109680175781000} undistorted={470.530639648438000,422.167266845703000} calibrationFrameFront={-23.773275132719100,-1.902948148825800} calibrationFrameBack={-35.823029637272800,-5.872961619985660}"
