Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_1 1 (Omykiss),Drift_Forage 1,0:00:01:30.395/60000,90.006584,-23.078009,3.411723,11.938233,0.0186,0.885927,67.143173,
Subsample_1 1 (Omykiss),Drift_Forage 6,0:00:01:39.395/60000,99.006584,-27.44252,10.006479,14.518783,0.053283,0.764072,74.681534,
Subsample_1 1 (Omykiss),Length 2,0:00:01:30.395/60000,90.006584,-18.950041,6.755794,10.529785,0.004967,0.637388,68.2258,
Subsample_1 1 (Omykiss),Drift_Forage 3,0:00:01:33.395/60000,93.006584,-22.973185,5.415001,12.786056,0.022406,1.789358,68.668419,
Subsample_1 1 (Omykiss),Length 7,0:00:01:39.395/60000,99.006584,-22.945206,13.005167,13.348141,0.040346,1.430833,75.160034,
Subsample_1 1 (Omykiss),Drift_Forage 9,0:00:01:45.395/60000,105.006584,-31.508133,7.744561,11.626307,0.018227,1.508775,75.388588,
Subsample_1 1 (Omykiss),Length 7,0:00:01:39.395/60000,99.006584,-27.532124,10.152152,14.516888,0.053881,0.934072,74.851952,
Subsample_1 1 (Omykiss),Length 2,0:00:01:30.395/60000,90.006584,-23.125475,3.414605,11.937645,0.01862,1.127889,67.170418,
Subsample_1 1 (Omykiss),Drift_Forage 5,0:00:01:36.395/60000,96.006584,-22.106491,6.173606,13.333946,0.026645,1.393456,68.814903,
Subsample_1 1 (Omykiss),Drift_Forage 8,0:00:01:42.395/60000,102.006584,-29.527451,8.890507,12.267792,0.025181,0.955628,75.12368,
Subsample_1 1 (Omykiss),Length 4,0:00:01:33.395/60000,93.006584,-23.028484,5.46195,12.81004,0.022649,1.409419,68.733391,
Subsample_1 1 (Omykiss),Length 4,0:00:01:33.395/60000,93.006584,-19.138937,9.035925,10.736446,0.005451,1.520961,70.28421,
Subsample_1 1 (Omykiss),Drift_Forage 10,0:00:01:48.395/60000,108.006584,-33.15905,6.767259,12.171721,0.02338,1.654821,75.504524,
Subsample_1 1 (Omykiss),Drift_Forage 12,0:00:01:54.395/60000,114.006584,-33.479637,6.812507,10.638883,0.0096,0.907184,75.93988,
Subsample_1 1 (Omykiss),Drift_Forage 13,0:00:01:57.395/60000,117.006584,-32.608955,6.793159,9.348812,0.00277,0.814099,75.60717,
Subsample_1 1 (Omykiss),Drift_Forage 14,0:00:02:00.395/60000,120.006584,-32.140171,7.141226,11.228156,0.014355,0.721384,75.325134,
Subsample_1 1 (Omykiss),Drift_Forage 14,0:00:01:57.395/60000,117.006584,-32.60495,6.731676,9.386993,0.002291,0.67077,75.549919,
Subsample_1 1 (Omykiss),Drift_Forage 11,0:00:01:51.395/60000,111.006584,-33.763794,5.878051,12.061245,0.021761,1.678114,75.181831,
Subsample_1 2 (Omykiss),Search_Forage 15,0:00:01:30.395/60000,90.006584,-7.026154,34.834404,26.76869,0.249933,2.369714,90.056145,
Subsample_1 2 (Omykiss),Search_Forage 16,0:00:01:33.395/60000,93.006584,-19.101324,40.421997,26.564219,0.387123,2.79315,98.613228,
Subsample_1 2 (Omykiss),Search_Forage 17,0:00:01:36.395/60000,96.006584,-26.246796,44.470341,30.144695,0.532413,2.460347,105.070427,
Subsample_1 2 (Omykiss),Drift_Forage 18,0:00:01:39.395/60000,99.006584,-31.34922,41.58667,28.209734,0.523005,0.640135,104.268822,
Subsample_1 2 (Omykiss),Drift_Forage 19,0:00:01:42.395/60000,102.006584,-33.984299,42.365936,29.23527,0.567863,2.699786,106.157623,
Subsample_1 2 (Omykiss),Drift_Forage 20,0:00:01:45.395/60000,105.006584,-34.051712,42.753422,29.325544,0.572823,1.289236,106.54158,
Subsample_1 2 (Omykiss),Drift_Forage 21,0:00:01:48.395/60000,108.006584,-34.114788,42.872814,29.447214,0.576496,2.348807,106.684952,
Surface_Shots 3,Point 22,0:00:01:45.395/60000,105.006584,-35.732254,49.73653,33.790504,0.718533,2.676049,113.945168,
Surface_Shots 3,Point 23,0:00:01:45.395/60000,105.006584,-13.290481,39.544514,34.941586,0.425429,3.235166,96.88446,
Subsample_1 2 (Omykiss),Drift_Forage 24,0:00:01:51.395/60000,111.006584,-33.821335,42.798191,29.379492,0.572436,2.33022,106.486595,
Subsample_1 2 (Omykiss),Drift_Forage 25,0:00:01:54.395/60000,114.006584,-33.336456,42.583626,29.357468,0.566835,0.788204,106.084198,
Subsample_1 2 (Omykiss),Drift_Forage 26,0:00:01:57.395/60000,117.006584,-33.651917,42.813026,29.410383,0.571845,1.915505,106.429558,
Subsample_1 2 (Omykiss),Drift_Forage 27,0:00:02:00.395/60000,120.006584,-34.055374,43.040688,29.425312,0.576781,1.70304,106.808762,
Subsample_1 4 (Omykiss),Drift_Forage 33,0:00:01:42.395/60000,102.006584,23.362726,24.858883,23.597343,0.07023,2.214938,73.779663,
Subsample_1 2 (Omykiss),Length 29,0:00:01:27.26241/60000,87.437347,2.218484,33.565933,24.996496,0.139959,2.628508,87.231239,
Subsample_1 4 (Omykiss),Length 32,0:00:01:39.395/60000,99.006584,28.53071,21.037294,21.139654,0.084773,1.311086,69.068398,
Subsample_1 2 (Omykiss),Length 29,0:00:01:27.26241/60000,87.437347,8.787364,32.998322,25.106462,0.074756,2.398672,85.925499,
Subsample_1 4 (Omykiss),Length 35,0:00:01:44.43277/60000,104.721283,19.489031,25.899748,23.406546,0.037824,1.451881,75.761917,
Subsample_1 4 (Omykiss),Drift_Forage 34,0:00:01:45.395/60000,105.006584,18.514069,25.507168,23.272663,0.030818,1.575513,75.659744,
Subsample_1 4 (Omykiss),Search_Forage 31,0:00:01:39.395/60000,99.006584,28.572575,20.982519,21.084307,0.08445,1.484837,69.009842,
Subsample_1 2 (Omykiss),Length 28,0:00:01:30.395/60000,90.006584,-7.073681,35.291523,26.875401,0.253468,1.761324,90.518356,
Subsample_1 4 (Omykiss),Search_Forage 36,0:00:01:48.395/60000,108.006584,16.835274,17.660643,18.810835,0.028027,0.928095,68.936317,
Subsample_1 4 (Omykiss),Search_Forage 30,0:00:01:36.395/60000,96.006584,40.772434,16.246338,23.405752,0.150092,0.099025,63.221516,
Subsample_1 4 (Omykiss),Length 32,0:00:01:39.395/60000,99.006584,33.094406,19.809216,21.139259,0.102738,1.393733,67.224274,
Subsample_1 4 (Omykiss),Length 35,0:00:01:44.43277/60000,104.721283,24.189924,26.374716,24.397224,0.079638,2.16896,75.07341,
Subsample_1 2 (Omykiss),Length 28,0:00:01:30.395/60000,90.006584,-0.377999,35.01564,26.710835,0.182143,3.348861,89.072426,
Subsample_1 4 (Omykiss),Length 38,0:00:01:51.395/60000,111.006584,3.847452,13.193074,19.615524,0.024101,0.150593,66.775963,
Subsample_1 4 (Omykiss),Search_Forage 37,0:00:01:51.395/60000,111.006584,3.826874,13.366543,19.605042,0.024581,0.414277,66.95089,
Subsample_1 4 (Omykiss),Search_Forage 41,0:00:02:00.395/60000,120.006584,23.678432,22.044739,17.393818,0.035324,1.413592,71.289268,
Subsample_1 4 (Omykiss),Search_Forage 40,0:00:01:57.395/60000,117.006584,4.88524,13.714439,12.339429,0.023696,0.881848,67.792458,
Subsample_1 4 (Omykiss),Search_Forage 39,0:00:01:54.395/60000,114.006584,-9.188037,10.832491,15.312627,0.030094,0.270846,67.587967,
Subsample_1 4 (Omykiss),Length 38,0:00:01:51.395/60000,111.006584,8.581307,13.020511,20.477131,0.00291,0.98404,66.177681,
Subsample_2 5 (Omykiss),Drift_Forage 42,0:00:02:00.395/60000,120.006584,-32.126385,7.132728,11.203806,0.014112,0.996051,75.313667,
Subsample_2 5 (Omykiss),Drift_Forage 45,0:00:02:06.395/60000,126.006584,-31.156258,7.701831,12.292812,0.02484,1.665705,75.065643,
Subsample_2 5 (Omykiss),Drift_Forage 46,0:00:02:09.395/60000,129.006577,-30.863628,7.890131,11.275361,0.014208,1.02888,75.185127,
Subsample_2 5 (Omykiss),Length 44,0:00:02:03.395/60000,123.006584,-28.622322,11.262589,11.298312,0.01561,0.317321,76.734131,
Subsample_2 5 (Omykiss),Drift_Forage 43,0:00:02:03.395/60000,123.006584,-31.402906,6.582304,13.228374,0.032037,1.498725,74.193329,
Subsample_2 5 (Omykiss),Length 44,0:00:02:03.395/60000,123.006584,-31.480724,6.723391,13.229035,0.032358,1.681053,74.352112,
